frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,0.0,False,False,True
2,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.0380598958333334,False,False,True
3,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.579271918402778,False,False,True
4,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,1.78259033203125,False,False,True
5,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,1.9484850260416668,False,False,True
6,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.6911263020833336,False,True,True
7,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.8996328125,False,True,True
8,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.6548098958333335,False,True,True
9,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.7618268229166665,False,True,True
10,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,3.009374348958333,False,True,True
11,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,3.1011998697916665,False,True,True
12,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.9043216145833335,False,True,True
13,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,2.9241660156250004,False,True,True
14,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,3.0210859374999997,False,True,True
15,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.9984420572916664,False,True,True
16,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.7680403645833334,False,True,True
17,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.837061197916667,False,True,True
18,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.999607421875,False,True,True
19,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,2.740397135416667,False,True,True
20,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.720326822916667,False,True,True
21,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,3.7136184895833333,False,True,True
22,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,4.418270182291667,False,True,True
23,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,5.36215625,False,True,True
24,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,6.131132161458334,False,True,True
25,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,5.8749205729166665,False,True,True
26,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,5.239349609375,False,True,True
27,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,6.376486328124999,False,True,True
28,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,8.693580078124999,False,True,True
29,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,11.653171223958333,False,True,True
30,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,14.153055989583333,False,True,True
31,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,15.024603515624998,False,True,True
32,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,16.532197265625,False,True,True
33,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,16.747925130208333,False,True,True
34,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,15.865688151041667,False,True,True
35,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,15.810392578124999,False,True,True
36,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,17.013190755208335,False,True,True
37,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,15.677212890625004,False,True,True
38,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,13.558776692708335,False,True,True
39,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,11.790037760416668,False,True,True
40,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,11.585638671875,False,True,True
41,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,10.578375,False,True,True
42,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,10.04345703125,False,True,True
43,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,10.340995442708333,False,True,True
44,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,10.220662109374999,False,True,True
45,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,8.254220703124998,False,True,True
46,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,7.313649088541666,False,True,True
47,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,6.124108072916666,False,True,True
48,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,4.858919921875,False,True,True
49,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,4.007518880208333,False,True,True
50,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,3.7495358072916667,False,True,True
51,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,3.017493489583333,False,True,True
52,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.561716796875,False,True,True
53,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.0431289062499998,False,True,True
54,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,1.939400390625,False,False,True
55,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.7004544270833335,False,False,True
56,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.7659166666666664,False,False,True
57,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.78006640625,False,False,True
58,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.8903645833333336,False,False,True
59,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,2.0252141927083334,False,True,True
60,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.249907552083333,False,True,True
61,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.197465494791667,False,True,True
62,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.2199993489583334,False,True,True
63,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,2.050875,False,True,True
64,82.0,368.0,62.0,296.0,0,,0.0,0.0,0.0,1.7875325520833336,False,False,True
65,82.0,368.0,62.0,296.0,3,"Hardhat, Hardhat, Hardhat",0.0,0.0,0.0,1.64726953125,False,False,True
66,82.0,368.0,62.0,296.0,3,"Hardhat, Hardhat, Hardhat",0.0,0.0,0.0,1.652861328125,False,False,True
67,82.0,368.0,62.0,296.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,1.6314479166666664,False,False,True
68,82.0,368.0,62.0,296.0,1,Hardhat,0.0,0.0,0.0,1.80346875,False,False,True
