frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,24.142780923344947,False,True,False
3,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,28.009189235561184,False,True,False
4,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,27.653466008077288,False,True,False
5,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,26.243160041178335,False,True,False
6,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,33.81539040228065,False,True,False
7,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,29.249038644282553,False,True,False
8,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,27.77264927146025,False,True,False
9,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,30.343943221412736,False,True,False
10,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,32.03186094393412,False,True,False
11,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,32.355357142857144,False,True,False
12,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,35.264771539436175,False,True,False
13,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,36.78599501108648,False,True,False
14,790.0,389.0,309.0,395.0,1,NO-Hardhat,0.0,0.0,0.0,38.15297988596769,False,True,True
15,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.23505899588217,False,True,True
16,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,37.28710365853659,False,True,True
17,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.50293712385176,False,True,True
18,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,42.51372228381375,False,True,True
19,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,40.521740972442196,False,True,True
20,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,43.2955155210643,False,True,True
21,790.0,389.0,309.0,395.0,1,Hardhat,0.0,0.0,0.0,44.24460247070003,False,True,True
22,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,45.87308085207476,False,True,True
23,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,42.99934193854925,False,True,True
24,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,40.878440766550526,False,True,True
25,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,41.22196111815014,False,True,True
26,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,42.069617912575225,False,True,True
27,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.429560104529614,False,True,True
28,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,39.201430947101684,False,True,True
29,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,43.7695707950586,False,True,True
30,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,42.56195280329426,False,True,True
31,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,41.58841067469116,False,True,True
32,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,41.576913208742475,False,True,True
33,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,39.76056936965473,False,True,True
34,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.16333821666139,False,True,True
35,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.4703563509661,False,True,True
36,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,39.56416574279379,False,True,True
37,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,40.72811648717136,False,True,True
38,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,42.50598075704782,False,True,True
39,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,41.17022450110865,False,True,True
40,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,40.14012630662021,False,True,True
41,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.53039713335445,False,True,True
42,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,38.142935540069686,False,True,True
43,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,37.63928452644916,False,True,True
44,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,36.78153349699081,False,True,True
45,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,36.78045890085524,False,True,True
46,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,34.849492397846056,False,True,False
47,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,30.912493664871715,False,True,False
48,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,27.365110468799493,False,True,False
49,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,28.228698527082674,False,True,False
50,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,26.582809629394994,False,True,False
51,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,25.55982499208109,False,True,False
52,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,25.545788327526132,False,True,False
53,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,24.701473709217613,False,True,False
54,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,24.917401013620527,False,True,False
55,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,25.160612923661706,False,True,False
56,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,25.06872070003168,False,True,False
57,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,25.97950506810263,False,True,False
58,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,26.181308203991136,False,True,False
59,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,24.75254909724422,False,True,False
60,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,27.944822220462463,False,True,False
61,790.0,389.0,309.0,395.0,0,,0.0,0.0,0.0,30.331415901172,False,True,False
