frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,13.995602035159962,False,True,False
3,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,27.120261192059974,False,True,False
4,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,32.429517243427306,False,True,False
5,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,32.99592453278429,False,True,False
6,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,36.92614428254672,False,True,False
7,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,36.63503563509661,False,True,False
8,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,31.99650736458663,False,True,False
9,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,29.373810579664234,False,True,False
10,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,30.28754513778904,False,True,False
11,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,31.706284051314537,False,True,False
12,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,32.46693775736459,False,True,False
13,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,30.536064697497626,False,True,True
14,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,28.01837662337662,False,True,True
15,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,24.342429125752297,False,True,True
16,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,24.593084019638898,False,True,True
17,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,25.5821503801077,False,True,True
18,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,29.949114269876464,False,True,True
19,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,31.013453436807094,False,True,True
20,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,30.28633037694013,False,True,True
21,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,27.7211858568261,False,True,True
22,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,22.53788604687995,False,True,True
23,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,16.238196468165984,False,True,True
24,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,12.898982815964525,False,True,True
25,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,12.011103500158377,False,True,True
26,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,12.586182689261957,False,True,True
27,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,16.226245248653786,False,True,True
28,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,22.010199556541018,False,True,True
29,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,22.668416217928414,False,True,True
30,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,25.659816281279696,False,True,True
31,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,27.89852391510928,False,True,True
32,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,27.84382285397529,False,True,True
33,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,30.94177581564777,False,True,True
34,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,36.77651053215077,False,True,True
35,666.0,464.0,289.0,403.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,38.27263184985746,False,True,True
36,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,39.86852035159962,False,True,True
37,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,41.595323883433636,False,True,True
38,666.0,464.0,289.0,403.0,2,"Hardhat, Hardhat",0.0,0.0,0.0,36.22616487171366,False,True,True
39,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,30.472199477351914,False,True,True
40,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,26.634031121317708,False,True,True
41,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,21.54266788089959,False,True,True
42,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,16.857842096927463,False,True,True
43,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,13.07177343997466,False,True,True
44,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,11.612696784922395,False,True,True
45,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,9.056736221095978,False,True,True
46,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,7.256843918276846,False,True,True
47,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,6.046559629394996,False,True,True
48,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,5.592548701298702,False,True,True
49,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,4.592695993031359,False,True,True
50,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,5.10771658219829,False,True,True
51,666.0,464.0,289.0,403.0,1,NO-Hardhat,0.0,0.0,0.0,5.4337404973075705,False,True,True
52,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,5.36863319607222,False,True,True
53,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,6.202325388026607,False,True,True
54,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,8.87077724105163,False,True,True
55,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,9.248031358885019,False,True,True
56,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,11.066347402597403,False,True,True
57,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,10.903983211910042,False,True,True
58,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,9.843934114665823,False,True,True
59,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,7.314660674691163,False,True,True
60,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,6.706084890719038,False,True,True
61,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,4.546866883116882,False,True,True
62,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,5.4883496990814065,False,True,True
63,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,5.760339721254356,False,True,True
64,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,8.946527161862528,False,True,True
65,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,13.991207237884066,False,True,True
66,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,21.53362012987013,False,True,True
67,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,27.668905210643015,False,True,True
68,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,34.92161902122268,False,True,True
69,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,35.72190806145075,False,True,True
70,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,36.062792999683246,False,True,True
71,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,32.773347719353815,False,True,True
72,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,31.04624406081723,False,True,True
73,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,25.90238517579981,False,True,True
74,666.0,464.0,289.0,403.0,1,Hardhat,0.0,0.0,0.0,24.70375316756414,False,True,True
75,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,20.97991130820399,False,True,True
76,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,18.86871990814064,False,True,True
77,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,15.33747545137789,False,True,True
78,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,18.824236221095976,False,True,True
79,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,19.857000712701932,False,True,True
80,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,19.725388422553056,False,True,True
81,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,20.878724659486853,False,True,True
82,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,20.709385096610706,False,True,True
83,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,17.6613141431739,False,True,True
84,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,15.433607459613558,False,True,True
85,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,16.853165188470065,False,True,True
86,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,15.357273519163764,False,True,True
87,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,15.49041019955654,False,True,True
88,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,15.162977906240101,False,True,True
89,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,18.950165505226483,False,True,True
90,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,17.257120288248338,False,True,True
91,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,16.955374168514414,False,True,True
92,666.0,464.0,289.0,403.0,0,,0.0,0.0,0.0,16.12075110864745,False,True,True
