frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,0.0,False,False,False
2,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.5228886205258156,False,False,False
3,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.8625659909196495,False,False,False
4,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.7830401686727906,False,False,False
5,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.8442544345898007,False,False,False
6,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.256039356984479,False,True,False
7,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.0571333544504276,False,True,False
8,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.7171167247386763,False,False,False
9,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.6032313113715553,False,False,False
10,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.458463335445043,False,False,False
11,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.4555321507760532,False,False,False
12,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.433631612290149,False,False,False
13,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.6900681026290783,False,False,False
14,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.129828159645233,False,True,False
15,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.30773717136522,False,True,False
16,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.402002296484004,False,True,False
17,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.871314539119417,False,True,False
18,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,3.143934114665822,False,True,False
19,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.8984680867912576,False,True,False
20,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.7098752771618626,False,True,False
21,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.37812876148242,False,True,False
22,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.8821468165980364,False,False,False
23,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.5624829743427306,False,False,False
24,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.561775815647767,False,False,False
25,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,1.889635334178017,False,False,False
26,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,2.415153230915426,False,True,False
27,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,3.4161735825150457,False,True,False
28,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,5.492342413683877,False,True,False
29,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,6.038701694646816,False,True,False
30,451.0,569.0,428.0,575.0,1,Hardhat,0.0,0.0,0.0,8.080951853025024,False,True,True
31,451.0,569.0,428.0,575.0,1,Hardhat,0.0,0.0,0.0,10.428696943300602,False,True,True
32,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,11.069784605638265,False,True,True
33,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,9.457782309154261,False,True,True
34,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,10.205414950902755,False,True,True
35,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,9.34386482420019,False,True,True
36,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,8.21486854608806,False,True,True
37,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,8.113679521697815,False,True,True
38,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,9.464279379157428,False,True,True
39,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,10.103165584415583,False,True,True
40,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,10.615013462147608,False,True,True
41,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,11.283920652518214,False,True,True
42,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,11.849759265125119,False,True,True
43,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,12.016791257522964,False,True,True
44,451.0,569.0,428.0,575.0,0,,0.0,0.0,0.0,12.17595264491606,False,True,True
