frame,lw_x,lw_y,rw_x,rw_y,objects_detected,objects_list,lw_dist,rw_dist,raw_movement,smoothed_exertion,is_moving,is_working,objects_nearby
1,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,0.0,False,False,True
2,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,0.5363586870446626,False,False,True
3,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,0.6330205363741949,False,False,True
4,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,0.9274677304402914,False,False,True
5,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,1.272316281279696,False,False,True
6,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,2.5051464998416217,False,True,True
7,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.1788778904022807,False,True,True
8,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.8620078397212545,False,True,True
9,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.8513121634463103,False,True,True
10,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.799824596135571,False,True,True
11,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.1124912891986063,False,True,True
12,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.645750712701932,False,True,True
13,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.035183322774786,False,True,True
14,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.8702359835286664,False,False,True
15,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.7336304244535952,False,False,True
16,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.4133841463414634,False,False,True
17,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.2142195913842255,False,False,True
18,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.1312139689578713,False,False,True
19,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.1411593284764014,False,False,True
20,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9281046088058282,False,False,True
21,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9076084890719038,False,False,True
22,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.8847557016154577,False,False,True
23,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9538283972125436,False,False,True
24,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9867009819448844,False,False,True
25,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0677371713652202,False,False,True
26,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.1241015996198924,False,False,True
27,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9832285397529301,False,False,True
28,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.005636680392778,False,False,True
29,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9387068419385493,False,False,True
30,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9678345739626227,False,False,True
31,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0365057808045612,False,False,False
32,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.2059791732657588,False,False,False
33,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0979307887234717,False,False,False
34,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.1820458504909723,False,False,False
35,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0533310896420653,False,False,False
36,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9299121000950269,False,False,False
37,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9486818973709218,False,False,False
38,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.1909471016788091,False,False,False
39,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.3892928413050365,False,False,False
40,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.5789123376623377,False,False,False
41,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.498462543554007,False,False,False
42,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.3612737567310738,False,False,False
43,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0486320082356668,False,False,False
44,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.8414824200190054,False,False,False
45,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.075720224897054,False,False,False
46,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.2291154577130188,False,False,False
47,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.4738877890402282,False,False,False
48,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.7049473392461199,False,False,False
49,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.659827763699715,False,False,False
50,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.3307625910674692,False,False,False
51,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.4527280646183085,False,False,False
52,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.564255622426354,False,False,False
53,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.9123582515045932,False,False,False
54,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.1759843205574914,False,True,False
55,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.0769413208742478,False,True,False
56,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.953634779854292,False,False,False
57,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.81506968641115,False,False,False
58,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.9029810738042445,False,False,False
59,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.497943458980044,False,True,False
60,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.5525823566677226,False,True,False
61,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,4.2416792049414,False,True,True
62,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,4.323361181501426,False,True,True
63,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,4.10282190370605,False,True,True
64,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,3.230592334494774,False,True,True
65,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,2.207645707950586,False,True,True
66,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.589202565726956,False,False,True
67,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.33279933481153,False,False,True
68,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,1.0397869813113716,False,False,True
69,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.972799730757048,False,False,True
70,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.9177324200190056,False,False,True
71,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.6402233132720938,False,False,True
72,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.5851872822299652,False,False,True
73,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.5072461989230282,False,False,True
74,703.0,510.0,716.0,507.0,1,Hardhat,0.0,0.0,0.0,0.4948550839404498,False,False,True
75,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.5518783655369021,False,False,True
76,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.596066281279696,False,False,True
77,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.6158108964206525,False,False,True
78,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.5398166772252139,False,False,True
79,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.6568249128919861,False,False,True
80,703.0,510.0,716.0,507.0,0,,0.0,0.0,0.0,0.8471519638897688,False,False,True
81,703.0,510.0,719.0,492.0,0,,0.0,15.297058540778355,15.297058540778355,1.1782491289198607,True,False,True
82,703.0,510.0,726.0,503.0,0,,0.0,13.038404810405298,13.038404810405298,1.4617437440608172,True,False,True
